497	47144	45167	6014
498	55048	45814	995674
499	47772	45560	1024168
500	46802	45222	6032
501	46769	45941	5189
502	47041	45563	6235
503	47836	45696	996511
504	47953	46482	1005049
505	48126	46161	6362
506	49434	46213	5310
507	52345	46295	5600
508	48492	46197	1029348
509	47933	46246	6192
510	49818	46624	5325
511	48072	46654	5618
512	48685	47032	5353
513	48588	46500	5319
514	48664	46923	5331
515	48724	47150	5942
516	48549	47119	5539
517	48658	47376	5431
518	48739	47198	1023481
519	48996	47476	6722
520	49286	47410	1010154
521	49323	47941	7072
522	49767	49096	1125397
523	49643	48322	8386
524	49879	48407	1122698
525	51157	48491	1059425
526	50057	48866	9212
527	50100	48764	5727
528	50979	48787	1351471
529	50045	48591	1104728
530	50057	48960	6667
531	55289	48896	5510
532	50936	49341	5518
533	50713	48803	5616
534	50906	49271	5900
535	50919	51209	5603
536	51199	50323	5878
537	51326	50045	5670
538	51275	49927	5642
539	51828	50332	5645
540	51541	50051	5660
541	51432	51753	1080883
542	51405	50299	7601
543	52136	50392	6205
544	52233	50504	6038
545	51544	50350	5748
546	51919	51324	5785
547	51659	50755	6174
548	51638	50713	1013433
549	52257	50743	6770
550	51864	50806	997333
551	51837	50788	6743
552	52073	51387	1002837
553	52412	51208	6996
554	52686	51505	1000567
555	52892	51417	6782
556	52744	51166	997418
557	52865	51263	6788
558	53403	51771	1001700
559	52856	51731	6812
560	52889	54506	998367
561	52991	54678	6827
562	53104	52795	5990
563	53472	57035	1019782
564	53206	57030	1020856
565	53412	57398	6888
566	53254	58969	997729
567	54155	59501	6870
568	53376	56286	5996
569	53657	58251	998098
570	53460	57939	6900
571	53883	56652	1003420
572	53938	57573	7305
573	55116	55113	6259
574	53883	53989	6054
575	54016	58133	6005
576	54600	58269	6060
577	54796	62693	6044
578	54406	58166	6084
579	54672	59157	6075
580	54584	60124	1013227
581	54590	59088	1008957
582	54823	57452	1003332
583	54953	58661	8284
584	56410	58365	6214
585	55331	59245	6099
586	55325	58858	6957
587	55246	58631	1010583
588	55893	61816	7090
589	55612	61291	6184
590	55869	60100	1042068
591	55917	59658	7126
592	56225	57733	1025023
593	56153	59317	1002776
594	56304	61587	7121
595	56355	63518	1034422
596	56618	62747	7975
597	56561	55074	6522
598	56503	74993	6235
599	56561	63947	1019656
600	56718	63047	997720
601	57479	98202	7244
602	56854	58111	6268
603	56848	58323	6304
604	57945	55941	996152
605	57280	56211	8166
606	57226	55446	6401
607	64673	55636	1038980
608	57921	61227	995807
609	57622	56065	1006690
610	57598	55715	7389
611	57658	55712	1019931
612	57803	55666	7414
613	57900	55869	1019105
614	57897	56090	1006421
615	58042	56171	7410
616	58827	56219	1014137
617	58265	58238	7456
618	58474	56845	1011544
619	59502	56833	7447
620	59801	57217	7265
621	59027	57051	1014409
622	59746	57277	7728
623	59254	57132	6809
624	59148	57480	6434
625	59381	57438	7250
626	59196	57540	6866
627	59508	57552	6431
628	59329	57990	6449
629	59329	57885	8284
630	59544	57676	6788
631	59450	57727	6528
632	59746	57821	6957
633	59701	58145	1259575
634	59610	58151	8015
635	60100	59420	6595
636	60012	58302	1187398
637	60351	58401	1021387
638	60130	58752	1027634
639	60490	58867	7746
640	60396	58613	6640
641	60321	59024	7217
642	60596	59006	7002
643	164796	59090	6640
644	62829	59033	7111
645	60541	59287	1006735
646	61049	59493	2829873
647	60722	59435	8979
648	61689	59662	1059929
649	62548	59864	7773
